name,athleticism,clutch,leadership,heart,skill,intimidation,teamwork,charisma,wildcardName,wildcardCategory,wildcardValue,reasoning
Herman Boone,42,88,99,92,85,94,95,82,Unity,Social,99,"99 Leadership for integrating T.C. Williams; Unity (99) for turning racial tension into a championship brotherhood "
Coach Norman Dale,35,92,94,88,90,75,98,68,Fundamentals,Technical,96,"Low charisma (68) due to initial town friction; Fundamentals (96) for the 'four passes before a shot' discipline "
Ken Carter,40,85,97,91,84,92,90,88,The Contract,Social,98,"The Contract (98) represents his uncompromising stance on academic accountability over basketball "
Tony D'Amato,32,90,95,85,88,78,72,96,Inch by Inch,Social,99,"96 Charisma for his legendary oratory; 'Inch by Inch' (99) reflects the most electric pregame speech in sports film history "
Herb Brooks,38,95,98,96,94,88,99,74,Conditioning,Physical,97,"99 Teamwork for the 'Herbies' drills that built the Miracle team; Conditioning (97) for 'The legs feed the wolf' "
Jimmy Dugan,30,82,85,78,92,88,75,90,No Crying,Social,95,"High skill (92) as a former star; 'No Crying' (95) for his blunt, tough-love management of the Peaches "
Gordon Bombay,55,88,92,82,85,65,94,84,Triple Axel,Technical,90,"Reflects his journey from selfish lawyer to Ducks mentor; Triple Axel (90) for his unique figure-skating-to-hockey skill set "
Mickey Goldmill,25,85,96,94,90,92,70,82,Old School Grit,Mental,98,"25 Athleticism due to age; Old School Grit (98) for chasing chickens and the 'staying in the basement' philosophy "
Roy Hobbs,88,99,75,95,99,85,80,92,Wonderboy,Intangible,99,"99 Skill and Clutch; Wonderboy (99) for the literal 'lightning-struck' magic of his bat and home runs "
Apollo Creed,94,88,85,92,96,82,65,99,Showmanship,Social,98,"99 Charisma for his Ali-inspired persona; Showmanship (98) for his flamboyant, larger-than-life ring entrances "
Willie Mays Hayes,98,72,62,68,75,45,78,94,Base Thief,Technical,97,"98 Athleticism for elite speed; Base Thief (97) for his 'hit like Mays, run like Hayes' specialty "
Bobby Boucher,82,90,45,95,40,99,60,85,Water Boy Rage,Mental,99,"40 Skill due to poor technique; Water Boy Rage (99) for his record 16 sacks fueled by 'visualizing and attacking' "
Ricky Vaughn,92,88,52,82,65,94,62,95,Wild Thing,Technical,98,"Low skill (65) for poor control; Wild Thing (98) for the 100mph fastball once he got his glasses "
Michael Jordan,99,99,94,96,99,92,88,99,Toon Physics,Intangible,99,"The ultimate athlete; Toon Physics (99) for the half-court stretch dunk to defeat the Monstars "
Dottie Hinson,85,95,96,90,98,75,92,92,The Split Catch,Technical,97,"98 Skill as the league's best; The Split Catch (97) for her iconic flexibility and defensive dominance "
Adonis Creed,92,90,82,95,88,84,78,88,Legacy,Intangible,95,"High athleticism and heart; Legacy (95) for fighting to prove he wasn't a mistake and carving his own name "
Rocky Balboa,72,94,58,99,62,55,68,85,Iron Chin,Physical,97,"99 Heart for never quitting; Iron Chin (97) for absorbing elite punishment from Creed and Drago and staying up "
