name,movie,movieYear,sport,actor,archetype,bio,quote,athleticism,clutch,leadership,heart,skill,intimidation,teamwork,charisma,curated
Herman Boone,Remember the Titans,2000,Football,Denzel Washington,captain,"Head coach who united a racially divided high school team into state champions.","I don't care if you like each other or not. But you will respect each other.",42,85,99,90,75,88,82,92,true
Coach Norman Dale,Hoosiers,1986,Basketball,Gene Hackman,captain,"Disgraced college coach who led a tiny Indiana high school to the state championship.","I love you guys.",,,,,,,,,false
Ken Carter,Coach Carter,2005,Basketball,Samuel L. Jackson,captain,"Coach who locked his undefeated team out of the gym until they improved their grades.","Our deepest fear is not that we are inadequate.",,,,,,,,,false
Tony D'Amato,Any Given Sunday,1999,Football,Al Pacino,captain,"Veteran head coach fighting for relevance in a game that has passed him by.","The inches we need are everywhere around us.",,,,,,,,,false
Herb Brooks,Miracle,2004,Hockey,Kurt Russell,captain,"The coach who led a team of college kids to defeat the unbeatable Soviet hockey team.","Great moments are born from great opportunity.",,,,,,,,,false
Jimmy Dugan,A League of Their Own,1992,Baseball,Tom Hanks,captain,"Washed-up former slugger who reluctantly coaches a women's baseball team.","There's no crying in baseball!",,,,,,,,,false
Gordon Bombay,The Mighty Ducks,1992,Hockey,Emilio Estevez,captain,"Hotshot lawyer forced into coaching a ragtag youth hockey team as community service.","Ducks fly together.",,,,,,,,,false
Mickey Goldmill,Rocky,1976,Boxing,Burgess Meredith,captain,"Grizzled old trainer who saw something special in a Philly brawler nobody believed in.","You're gonna eat lightnin' and you're gonna crap thunder!",,,,,,,,,false
Roy Hobbs,The Natural,1984,Baseball,Robert Redford,natural,"A mysteriously gifted middle-aged rookie whose talent borders on the mythical.","I coulda been better. I coulda broke every record in the book.",,,,,,,,,false
Apollo Creed,Rocky,1976,Boxing,Carl Weathers,natural,"The People's Champion -- flashy, talented, and supremely confident heavyweight champion.","I want you to promise me you're gonna stop this fight.",95,82,78,80,92,72,75,96,true
Willie Mays Hayes,Major League,1989,Baseball,Wesley Snipes,natural,"Blazing-fast outfielder who showed up to spring training uninvited and earned his spot.","I hit like Mays, and I run like Hayes.",,,,,,,,,false
Bobby Boucher,The Waterboy,1998,Football,Adam Sandler,natural,"Socially awkward waterboy whose suppressed rage made him the hardest hitter in football.","My Mama says that alligators are ornery because they got all them teeth and no toothbrush.",,,,,,,,,false
Ricky Vaughn,Major League,1989,Baseball,Charlie Sheen,natural,"Ex-con pitcher with a 100mph fastball and zero control -- until he got glasses.","Just a bit outside.",,,,,,,,,false
Michael Jordan,Space Jam,1996,Basketball,Michael Jordan,natural,"The GOAT himself, saving the Looney Tunes from alien enslavement through basketball.","Larry, I'm going to play basketball again.",99,99,85,80,99,78,72,92,true
Dottie Hinson,A League of Their Own,1992,Baseball,Geena Davis,natural,"Farm girl turned star catcher -- the best player in the women's league, period.","It's supposed to be hard. If it wasn't hard, everyone would do it.",,,,,,,,,false
Adonis Creed,Creed,2015,Boxing,Michael B. Jordan,natural,"Apollo Creed's son, forging his own legacy in the ring under Rocky's guidance.","I gotta prove it.",,,,,,,,,false
Rocky Balboa,Rocky,1976,Boxing,Sylvester Stallone,underdog,"A small-time Philly boxer who got a million-to-one shot and went the distance.","Yo, Adrian! I did it!",78,92,68,99,65,62,72,88,true
Rudy Ruettiger,Rudy,1993,Football,Sean Astin,underdog,"Undersized, overlooked, and told he'd never play -- then he dressed for Notre Dame.","Having a dream is what makes life tolerable.",,,,,,,,,false
Happy Gilmore,Happy Gilmore,1996,Golf,Adam Sandler,underdog,"Failed hockey player who discovered a monster golf drive and took on the PGA to save grandma's house.","The price is wrong, Bobby.",82,85,32,90,55,70,38,95,true
Shane Falco,The Replacements,2000,Football,Keanu Reeves,underdog,"Washed-up QB who got one last shot with a team of replacement players during a strike.","Pain heals. Chicks dig scars. Glory lasts forever.",,,,,,,,,false
Daniel LaRusso,The Karate Kid,1984,Martial Arts,Ralph Macchio,underdog,"Skinny Jersey kid who learned karate from a maintenance man and stood up to bullies.","Wax on, wax off.",,,,,,,,,false
Peter La Fleur,Dodgeball,2004,Dodgeball,Vince Vaughn,underdog,"Lovable slacker gym owner who enters a dodgeball tournament to save his business.","Nobody makes me bleed my own blood.",,,,,,,,,false
